step,u_bar,F_ref_miehe,F_ref_bourdin
1,6.25000000e-04,3.35335577e-02,3.35335577e-02
2,1.25000000e-03,6.70505073e-02,6.70505090e-02
3,1.87500000e-03,1.00534245e-01,1.00534255e-01
4,2.50000000e-03,1.33968178e-01,1.33968209e-01
5,3.12500000e-03,1.67335729e-01,1.67335808e-01
6,3.75000000e-03,2.00620346e-01,2.00620513e-01
7,4.37500000e-03,2.33805504e-01,2.33805816e-01
8,5.00000000e-03,2.66874706e-01,2.66875244e-01
9,5.62500000e-03,2.99811490e-01,2.99812358e-01
10,6.25000000e-03,3.32599421e-01,3.32600751e-01
11,6.87500000e-03,3.65222091e-01,3.65224048e-01
12,7.50000000e-03,3.97663109e-01,3.97665891e-01
13,8.12500000e-03,4.29904984e-01,4.29909129e-01
14,8.75000000e-03,4.61932871e-01,4.61938530e-01
15,9.37500000e-03,4.93729559e-01,4.93737137e-01
16,1.00000000e-02,5.25278401e-01,5.25288380e-01
17,1.06250000e-02,5.56562572e-01,5.56575524e-01
18,1.12500000e-02,5.87563430e-01,5.87580457e-01
19,1.18750000e-02,6.18265714e-01,6.18287425e-01
20,1.25000000e-02,6.48650293e-01,6.48677759e-01
21,1.31250000e-02,6.78696435e-01,6.78731421e-01
22,1.37500000e-02,7.08386209e-01,7.08430108e-01
23,1.43750000e-02,7.37694412e-01,7.37749881e-01
24,1.50000000e-02,7.66598066e-01,7.66666655e-01
25,1.56250000e-02,7.95063005e-01,7.95150455e-01
26,1.62500000e-02,8.23051114e-01,8.23163060e-01
27,1.68750000e-02,8.50503491e-01,8.50649429e-01
28,1.75000000e-02,8.77326359e-01,8.77519716e-01
29,1.81250000e-02,9.03328669e-01,9.03593504e-01
30,1.87500000e-02,9.27951428e-01,9.28317651e-01
31,1.93750000e-02,9.48123290e-01,9.48397346e-01
32,2.00000000e-02,9.41307331e-01,9.41486819e-01
33,2.06250000e-02,9.16664273e-01,9.18873645e-01
34,2.12500000e-02,8.94409166e-01,8.97571858e-01
35,2.18750000e-02,8.76526864e-01,8.82023349e-01
36,2.25000000e-02,8.74107842e-01,8.80820952e-01
37,2.31250000e-02,8.80534580e-01,8.87545529e-01
38,2.37500000e-02,8.90513026e-01,8.97420822e-01
39,2.43750000e-02,9.01926955e-01,9.08517981e-01
40,2.50000000e-02,9.13947728e-01,9.20276591e-01
41,2.56250000e-02,9.26286874e-01,9.32444725e-01
42,2.62500000e-02,9.38891490e-01,9.44900052e-01
43,2.68750000e-02,9.51690531e-01,9.57587227e-01
44,2.75000000e-02,9.64656191e-01,9.70441560e-01
45,2.81250000e-02,9.77721321e-01,9.83422997e-01
46,2.87500000e-02,9.90842290e-01,9.96482218e-01
47,2.93750000e-02,1.00401845e+00,1.00960509e+00
48,3.00000000e-02,1.01719074e+00,1.02273823e+00
49,3.06250000e-02,1.03034866e+00,1.03587893e+00
50,3.12500000e-02,1.04347175e+00,1.04898389e+00
51,3.18750000e-02,1.05652009e+00,1.06204099e+00
52,3.25000000e-02,1.06949233e+00,1.07502180e+00
53,3.31250000e-02,1.08233247e+00,1.08790816e+00
54,3.37500000e-02,1.09504962e+00,1.10065488e+00
55,3.43750000e-02,1.10759289e+00,1.11326649e+00
56,3.50000000e-02,1.11992823e+00,1.12567782e+00
57,3.56250000e-02,1.13202262e+00,1.13785760e+00
58,3.62500000e-02,1.14380824e+00,1.14973988e+00
59,3.68750000e-02,1.15518925e+00,1.16124748e+00
60,3.75000000e-02,1.16602921e+00,1.17225676e+00
61,3.81250000e-02,1.17611324e+00,1.18257382e+00
62,3.87500000e-02,1.18498428e+00,1.19190409e+00
63,3.93750000e-02,1.19177160e+00,1.19955771e+00
64,4.00000000e-02,1.19439668e+00,1.20330712e+00
65,4.06250000e-02,1.18629407e+00,1.19803161e+00
66,4.12500000e-02,1.12109069e+00,1.15016099e+00
67,4.18750000e-02,2.04061735e-03,2.74569244e-03
68,4.25000000e-02,1.93902494e-03,2.61718868e-03
69,4.31250000e-02,1.85748611e-03,2.50583364e-03
70,4.37500000e-02,1.78057367e-03,2.40086863e-03
71,4.43750000e-02,1.70796183e-03,2.30183533e-03
72,4.50000000e-02,1.63935241e-03,2.20831528e-03
73,4.56250000e-02,1.57447207e-03,2.11992566e-03
74,4.62500000e-02,1.51306981e-03,2.03631577e-03
75,4.68750000e-02,1.45491493e-03,1.95716379e-03
76,4.75000000e-02,1.39979502e-03,1.88217403e-03
77,4.81250000e-02,1.34751434e-03,1.81107439e-03
78,4.87500000e-02,1.29789223e-03,1.74361419e-03
79,4.93750000e-02,1.25076180e-03,1.67956217e-03
80,5.00000000e-02,1.20596868e-03,1.61870472e-03
