step,u_bar,phase
1,6.00000000e-04,load
2,1.20000000e-03,load
3,1.80000000e-03,load
4,2.40000000e-03,load
5,3.00000000e-03,load
6,3.60000000e-03,load
7,4.20000000e-03,load
8,4.80000000e-03,load
9,5.40000000e-03,load
10,6.00000000e-03,load
11,6.60000000e-03,load
12,7.20000000e-03,load
13,7.80000000e-03,load
14,8.40000000e-03,load
15,9.00000000e-03,load
16,9.60000000e-03,load
17,1.02000000e-02,load
18,1.08000000e-02,load
19,1.14000000e-02,load
20,1.20000000e-02,load
21,1.26000000e-02,load
22,1.32000000e-02,load
23,1.38000000e-02,load
24,1.44000000e-02,load
25,1.50000000e-02,load
26,1.38000000e-02,unload
27,1.26000000e-02,unload
28,1.14000000e-02,unload
29,1.02000000e-02,unload
30,9.00000000e-03,unload
31,7.80000000e-03,unload
32,6.60000000e-03,unload
33,5.40000000e-03,unload
34,4.20000000e-03,unload
35,3.00000000e-03,unload
36,4.10000000e-03,reload
37,5.20000000e-03,reload
38,6.30000000e-03,reload
39,7.40000000e-03,reload
40,8.50000000e-03,reload
41,9.60000000e-03,reload
42,1.07000000e-02,reload
43,1.18000000e-02,reload
44,1.29000000e-02,reload
45,1.40000000e-02,reload
46,1.51000000e-02,reload
47,1.62000000e-02,reload
48,1.73000000e-02,reload
49,1.84000000e-02,reload
50,1.95000000e-02,reload
